date,dateymd,status,Total,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
17-May-20,2020-05-17,Confirmed,5049,0,25,0,8,142,0,18,0,422,0,9,391,2,23,6,62,55,14,0,2347,0,0,187,0,0,91,18,0,242,0,42,639,-2,206,1,101
18-May-20,2020-05-18,Confirmed,4628,0,52,0,15,103,5,10,0,299,0,9,366,10,18,5,106,99,29,0,2005,0,0,259,0,0,48,16,0,305,0,41,536,0,141,4,147
19-May-20,2020-05-19,Confirmed,6154,0,57,0,42,96,3,5,0,500,0,8,395,2,36,20,28,149,12,0,2078,0,2,229,0,0,102,22,5,338,0,42,688,8,321,15,137
20-May-20,2020-05-20,Confirmed,5720,0,71,0,31,257,3,14,0,534,0,4,398,18,29,42,73,67,24,0,2161,1,16,270,0,0,74,3,1,170,0,27,743,0,249,15,142
21-May-20,2020-05-21,Confirmed,6023,0,45,0,22,211,16,14,0,571,0,2,371,42,37,13,59,143,24,0,2345,0,0,246,0,0,51,23,0,212,0,38,776,2,340,19,94
22-May-20,2020-05-22,Confirmed,6536,0,62,0,15,179,1,44,0,660,0,2,363,16,37,20,40,138,42,0,2940,0,1,189,0,0,86,1,3,267,0,62,786,0,220,8,135
23-May-20,2020-05-23,Confirmed,6663,0,47,0,121,228,6,42,0,591,1,1,396,17,64,27,80,216,62,0,2608,0,3,201,0,0,80,16,0,248,1,52,759,16,282,91,127
24-May-20,2020-05-24,Confirmed,7111,0,66,1,46,180,37,38,0,508,0,11,394,18,53,20,52,130,53,0,3041,0,3,294,0,0,67,15,15,286,0,41,765,3,251,73,208
25-May-20,2020-05-25,Confirmed,6414,0,106,0,156,163,4,40,0,635,0,1,405,20,29,35,47,93,49,0,2436,1,4,194,0,3,102,21,8,272,0,66,805,4,229,32,149
26-May-20,2020-05-26,Confirmed,5907,0,97,0,134,231,12,68,0,412,0,0,361,24,92,21,91,101,67,0,2091,5,3,165,0,1,79,25,0,236,0,112,646,34,227,51,193
